NSINDOOR02,"DISREPAIR INTERIOR DOOR"
NSFECES01,"ANIMAL FECES ON PROPERTY"
NSFLOOR06,"WARPING OF INTERIOR FLOOR"
NSEAVES01,"EAVES ARE IN DISREPAIR"
NSFLAME01,"DWELLING IN BUILDING HOUSING FLAMMABLE"
NSINFEST01,"FLEA INFESTATION INSIDE STRUCTURE"
NSSTOVE05,"THERMOSTAT OF STOVE MALFUNCTIONING"
NSZWIND09,"WINDOW IN DISREPAIR"
NSRV06,"USING RV'S FOR UNAPPROVED STORAGE"
NSZWIND,"WINDOW ALLOWS ENTRY OF WEATHER"
NSELECT22,"OUTLET NOT COVERED"
NSEAVES03,"SOFFIT BOARDS (EAVES) ARE LOOSE/MISSING"
NSWSTWTR02,"WASTEWATER DEPOSITED ON THE PREMISES"
NSRODENT01,"OPENING WITHIN (4) FEET OF GROUND"
NSINTWALL4,"INTERIOR WALL HAS HOLE"
NSZAWNG03,"AWNING/MARQUEE IS RIPPED/TORN"
NSGUTTER01,"DOWNSPOUT DISCONNECTED OR MISSING"
NSACCSTR07,"WINDOW(S) OF ACC. STRUCTURE IN DISREPAIR"
NSXWLBKS02,"CRACKS IN BRICKS ON EXTERIOR WALL"
NSOBSTRT03,"OBJECT OBSTRUCTING THE SIDEWALK"
NSPLUMB24,"PLUMBING SYSTEM PIPE(S) ARE BROKEN"
NSZROOF05,"ROOFING MATERIAL MISSING"
NSDAMP01,"INTERIOR NOT FREE FROM DAMPNESS"
NSZINFES03,"ROACH INFESTATION ON EXTERIOR PROPERTY"
NSACCSTR03,"DISREPAIR ACCESSORY STRUCTURE"
NSZDOOR06,"DOOR ALLOWS ENTRY OF WEATHER"
NSSEWER06,"PRIVATE COMMUNITY SEWER LINE IS BROKEN"
NSELECT05,"CORDS LONGER THAN 8 FEET IN USE"
NSZWALL05,"HOLE IN EXTERIOR WALL"
NSZWALL11,"STUCCO HAS HOLE(S) ON EXTERIOR WALL"
NSROOF07,"DETERIORATED ROOFING MATERIAL"
NSPLUMB18,"LAVATORY NOT CONNECTED TO SEWER"
NSSTORJUNK,"STORAGE OF JUNK VEHICLES AND SALVAGE"
NSZWATER,"STAGNANT WATER ON PREMISES"
NSWLDEAD,"DEAD ANIMAL ON THE PREMISES"
NSDRIVEWAY,"DRIVEWAY IN DISREPAIR"
NSZACSTR05,"WALLS OF ACC STRUCTURE IN DISREPAIR"
NSELECT33,"SWITCHES NOT COVERED"
NSBATH01,"THE LOCATION OF A BATHROOM IS IMPROPER"
NSXWLBRK03,"LOOSE BRICK VENEER ON EXTERIOR WALL"
NSPOOL01,"SWIMMING POOL IN DISREPAIR"
NSILDUMP,"ILLEGAL DUMPING"
NSZTRASH02,"RUBBISH ON EXTERIOR PROPERTY AREA"
NSPLUMB22,"LAVATORY DRAIN IS OBSTRUCTED"
NSTREE03,"HAZARDOUS TREE"
NSSUPPORT2,"SUPPORT COLUMNS DETERIORATED"
NSINFEST,"SPIDER INFESTATION INSIDE STRUCTURE"
NSZROOF04,"ROOF HAS HOLES"
NSFLAME06,"STORAGE OF FLAMMABLES NEAR STAIRWAY"
NSWINDOW07,"NOT CAPABLE OF BEING EASILY OPEN/CLOSE"
NSELFENC02,"ELECTRIC FENCE W/I 5 FEET OF SIDEWALK"
NSCHIMNY01,"LEANING CHIMNEY"
NSDETBAS02,"PIPES BLOCKED (DETENTION BASIN)"
NSZEAVES02,"SOFFIT BOARDS ROTTED"
NSHEAT05,"HEATING FACILITIES NOT ADEQUATELY VENTED"
NSZROOF03,"ROOF HAS LEAKS"
NSEROSIN48,"EROSION ONTO ADJOINING PROPERTY"
NSO3005,"RUBBISH OR LITTER ON OTHER PROPERTY"
NSDISEASE,"DISEASE TRANSMITTING CONDITION PRESENT"
NSFLAME07,"STORAGE OF FLAMMABLE VICINITY OF EXITWAY"
NSWAHEAT07,"HOT WATER HEATER - NO SHUT OFF VALVE"
NSPOOL02,"SWIMMING POOL DETERIORATION BREAKS HOLES"
NSNOUTIL,"LACK OF SERVICE"
NSPLUMB15,"KITCHEN SINK NOT CONNECTED TO WATER"
NSGUTTER02,"DOWNSPOUT EXTENSION NEEDED"
NSZDOCK01,"DOCK AREA IN DISREPAIR"
NSROOF04,"LEAKS IN ROOF"
NSCEILNG06,"WATER DAMAGE (CEILING)"
NSELECT25,"OUTLET NOT PROVIDED IN BATHROOM"
NSSUPPORT5,"ROOF JOISTS IN DISREPAIR"
NSZSEWAGE,"SEWAGE RESIDUE ON PREMISES"
NSFLOOR05,"TILE/LINOLEUM FLOOR IS DETERIORATING"
NSGRAF02,"A FENCE IS MARKED WITH GRAFFITI"
NSZPORCH04,"FLOOR OF PORCH IN DISREPAIR"
NSZEAVES03,"SOFFIT BOARDS LOOSE/MISSING"
NSELFENC01,"ELECTRIC FENCE ON RES. PROPERTY"
NSDOOR01,"ALLOWS (DOOR) ENTRY OF WEATHER"
NSFLOOR02,"FLOOR IS NOT CAPABLE OF SUPPORTING LOADS"
NSSEPTIC01,"MALFUNCTIONING SEPTIC TANK"
NSCHIMNY02,"GENERAL DISREPAIR (CHIMNEY)"
NSSTOVE04,"PORTABLE COOKING EQUIPMENT/FLAME EXISTS"
NSINTWALL1,"INTERIOR WALL HAS CHIPPED/PEELING PAINT"
NSPORCH09,"SOFFITS IN DISREPAIR"
NSZAWNG02,"AWNING/MARQUEE HAS HOLE(S)"
NSSTOVE03,"OVEN/STOVE NOT FUNCTIONING PROPERLY"
NSPLUMB33,"WATER CLOSET IS OBSTRUCTED"
NSZTRASH05,"TRASH CONTAINER NOT IMPERVIOUS TO WATER"
NSZTRASH03,"IMPROPER STORAGE OF TRASH"
NSRENTAL01,"FAILURE TO REGISTER RENTAL DWELLING"
NSDBPLUMB,"PLUMBING SYSTEM DAMAGED OR INOPERABLE"
NSZPAINT03,"EXTERIOR SURFACE MATERIAL NOT PROTECTED"
NSWINDOW01,"PANES ARE CRACKED, BROKEN OR MISSING"
NSELECT29,"OVERSIZED FUSES BEING USED"
NSELECT27,"OUTLETS (2) NOT IN HABITABLE ROOM(S)"
NSELECT21,"OCTUPUS OUTLETS IN USE"
NSDBWRECK,"STRUCTURE WRECKED, WARPED, SETTLED"
NSWAHEAT05,"HOT WATER HEATER - NO PRESSURE VALVE"
NSDETBASIN,"DETENTION BASIN NOT FUNCTIONING"
